bairro,grau
Boa Vista,10
Cabanga,3
Coelhos,5
Ilha Do Leite,4
Ilha Joana Bezerra,4
Paissandu,4
Recife,3
Santo Amaro,7
Santo Antônio,5
São José,7
Soledade,2
Água Fria,8
Alto Santa Teresinha,6
Arruda,8
Beberibe,4
Bomba Do Hemetério,5
Cajueiro,3
Campina Do Barreto,5
Campo Grande,7
Dois Unidos,4
Encruzilhada,7
Fundão,4
Hipódromo,3
Linha Do Tiro,6
Peixinhos,3
Ponto De Parada,6
Porto Da Madeira,4
Rosarinho,5
Torreão,4
Aflitos,4
Alto Do Mandu,5
Alto José Bonifacio,5
Alto José Do Pinho,5
Apipucos,7
Brejo Da Guabiraba,5
Brejo De Beberibe,7
Casa Amarela,10
Casa Forte,4
Córrego Do Jenipapo,5
Derby,4
Dois Irmãos,5
Espinheiro,6
Graças,9
Guabiraba,4
Jaqueira,4
Macaxeira,4
Mangabeira,5
Monteiro,5
Morro Da Conceição,5
Nova Descoberta,6
Parnamirim,6
Passarinho,4
Pau-Ferro,1
Poço,4
Santana,5
Sítio Dos Pintos,2
Tamarineira,8
Vasco Da Gama,5
Caxangá,5
Cidade Universitária,4
Cordeiro,8
Engenho Do Meio,5
Ilha Do Retiro,5
Iputinga,8
Madalena,6
Prado,8
Torre,5
Torrões,4
Várzea,4
Zumbi,4
Afogados,10
Areias,6
Barro,5
Bongi,4
Caçote,1
Coqueiral,3
Curado,10
Estância,3
Jardim São Paulo,6
Jiquiá,7
Mangueira,4
Mustardinha,4
San Martin,9
Sancho,4
Tejipió,5
Totó,3
Boa Viagem,4
Brasília Teimosa,1
Cohab,3
Ibura,7
Imbiribeira,5
Ipsep,2
Jordão,3
Pina,4
