bairro_origem,bairro_destino,logradouro,observacao,peso
Boa Vista,Ilha Do Leite, R. Marques de Amorim,,1
Boa Vista,Derby, Av. Gov. Carlos de Lima Cavalcanti,,3
Boa Vista,Espinheiro, Av. Joao de Barros,,3
Boa Vista,Soledade, Av. Conde da Boa Vista,,3
Boa Vista,Santo Antônio, R. da Aurora,,1
Boa Vista,Santo Amaro, R. Princesa Isabel,,1
Boa Vista,Graças, R. Joaquim Nabuco,,1
Boa Vista,Paissandu, R. Gen. Joaquim Inacio,,1
Boa Vista,Coelhos, R. Doutor Jose Mariano,,1
Boa Vista,São José, Pte. Boa Vista,,2
Cabanga,São José, Av. Eng. Jose Estelita,,3
Cabanga,Pina, Pte. Gov. Paulo Guerra,,2
Coelhos,Ilha Do Leite, R. Jose de Alencar,,1
Coelhos,Ilha Joana Bezerra, Pte. Viaduto Joaquim Nabuco,,2
Coelhos,São José, Pte. Viadut Joaquim Cardozo,,2
Coelhos,Santo Antônio, Pte. Rua Velha,,2
Ilha Do Leite,Paissandu, Av. Frei Matias Tevez,,3
Ilha Do Leite,Ilha Joana Bezerra, Av. Gov. Agamenon Magalhaes,,3
Paissandu,Derby, R. Viscondessa do Livramento,,1
Paissandu,Ilha Do Retiro, R. do Paissandu,,1
Recife,Santo Amaro, Pte. de Limoeiro,,2
Recife,São José, Pte. 12 de Setembro,,2
Recife,Santo Antônio, Pte. Mauricio de Nassau,,2
Santo Amaro,Campo Grande, Av. Olinda Dom Helder Camara,,3
Santo Amaro,Espinheiro, Av. Norte Miguel Arraes de Alencar,,3
Santo Amaro,Torreão, R. Retorno Um,,1
Santo Amaro,Santo Antônio, Pte. Capibaribe-Rio,,2
Santo Amaro,Soledade, R. do Principe,,1
Santo Antônio,São José, R. Tobias Barreto,,1
São José,Ilha Joana Bezerra, R. Dom paulo II,,1
São José,Afogados, R. Imperial,,1
Água Fria,Arruda, R. Das Moças,,1
Água Fria,Beberibe, Av. Anibal Benevolo,,3
Água Fria,Bomba Do Hemetério, R. Ruy Frazao,,1
Água Fria,Campina Do Barreto, R. Constança,,1
